ROW,Dimension.DATE,Dimension.ADVERTISER_ID,Dimension.ADVERTISER_NAME,Dimension.ORDER_NAME,Dimension.LINE_ITEM_ID,Dimension.LINE_ITEM_NAME,Dimension.LINE_ITEM_TYPE,Dimension.CREATIVE_NAME,Dimension.CREATIVE_TYPE,Dimension.CREATIVE_SIZE,Dimension.MASTER_COMPANION_CREATIVE_ID,Dimension.MASTER_COMPANION_CREATIVE_NAME,Dimension.AD_UNIT_NAME,Dimension.ORDER_ID,Dimension.CREATIVE_ID,Dimension.AD_UNIT_ID,DimensionAttribute.LINE_ITEM_GOAL_QUANTITY,DimensionAttribute.LINE_ITEM_START_DATE_TIME,DimensionAttribute.LINE_ITEM_END_DATE_TIME,DimensionAttribute.LINE_ITEM_CONTRACTED_QUANTITY,DimensionAttribute.LINE_ITEM_SPONSORSHIP_GOAL_PERCENTAGE,DimensionAttribute.CREATIVE_CLICK_THROUGH_URL,DimensionAttribute.MASTER_COMPANION_TYPE,DimensionAttribute.CREATIVE_OR_CREATIVE_SET,Column.AD_SERVER_ALL_REVENUE,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CPD_REVENUE,Column.AD_SERVER_CPM_AND_CPC_REVENUE,Column.AD_SERVER_IMPRESSIONS,Column.VIDEO_VIEWERSHIP_AUTO_PLAYS,Column.VIDEO_VIEWERSHIP_CLICK_TO_PLAYS,Column.VIDEO_VIEWERSHIP_COMPLETE,Column.VIDEO_VIEWERSHIP_FIRST_QUARTILE,Column.VIDEO_VIEWERSHIP_MIDPOINT,Column.VIDEO_VIEWERSHIP_START,Column.VIDEO_VIEWERSHIP_THIRD_QUARTILE,Column.VIDEO_VIEWERSHIP_VIDEO_LENGTH,Column.TOTAL_INVENTORY_LEVEL_ALL_REVENUE,Column.TOTAL_INVENTORY_LEVEL_CLICKS,Column.TOTAL_INVENTORY_LEVEL_CPM_AND_CPC_REVENUE,Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS,Column.TOTAL_LINE_ITEM_LEVEL_ALL_REVENUE,Column.TOTAL_LINE_ITEM_LEVEL_CLICKS,Column.TOTAL_LINE_ITEM_LEVEL_CPM_AND_CPC_REVENUE
102548119667364157873---751815071_2018-05-07_21,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),NEWS.com.au/Entertainment,2265591090,717074309,168400871,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,4,0,0,662,0,0,-,-,-,-,-,-,0,4,0,0,0,4,0
102548119667364157873---751815071_2018-05-07_22,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),NEWS.com.au,2265591090,717074309,168400991,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,2,0,0,1621,0,0,-,-,-,-,-,-,0,2,0,0,0,2,0
102548119667364157873---751815071_2018-05-07_23,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),NT News,2265591090,717074309,168401351,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,71,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_24,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Quest Community Papers,2265591090,717074309,168401591,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,24,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_25,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),The Australian,2265591090,717074309,168401831,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,6,0,0,3077,0,0,-,-,-,-,-,-,0,6,0,0,0,6,0
102548119667364157873---751815071_2018-05-07_26,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),The Courier Mail,2265591090,717074309,168401951,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,226,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_27,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),The Cairns Post,2265591090,717074309,168402071,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,51,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_28,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),NEWS.com.au/Technology,2265591090,717074309,168402191,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,2,0,0,425,0,0,-,-,-,-,-,-,0,2,0,0,0,2,0
102548119667364157873---751815071_2018-05-07_29,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),The Mercury,2265591090,717074309,168402311,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,819,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_30,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Townsville Bulletin,2265591090,717074309,168402671,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,58,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_31,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),The Australian Business,2265591090,717074309,168403151,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,89,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_32,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Messenger News,2265591090,717074309,168403391,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,9,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
